ID,Sales_in_thousands,__year_resale_value,Price_in_thousands
Mitsubishi_Diamante,5.711,16.575,24.997
Mitsubishi_3000GT,0.11,20.94,25.45
Mitsubishi_Montero,11.337,19.125,31.807
Mitsubishi_Montero Sport,39.348,13.88,22.527
Mercury_Mystique,14.351,8.8,16.24
Mercury_Cougar,26.529,13.89,16.54
Mercury_Sable,67.956,11.03,19.035
Mercury_Grand Marquis,81.174,14.875,22.605
Mercury_Mountaineer,27.609,20.43,27.56
Mercury_Villager,20.38,14.795,22.51
Mercedes-B_C-Class,18.392,26.05,31.75
Mercedes-B_E-Class,27.602,41.45,49.9
Mercedes-B_S-Class,16.774,50.375,69.7
Mercedes-B_SL-Class,3.311,58.6,82.6
Mercedes-B_SLK,7.998,18.07297520661157,38.9
Mercedes-B_SLK230,1.526,18.07297520661157,41.0
Mercedes-B_CLK Coupe,11.592,18.07297520661157,41.6
Mercedes-B_CL500,0.954,18.07297520661157,85.5
Mercedes-B_M-Class,28.976,18.07297520661157,35.3
Nissan_Sentra,42.643,8.45,13.499
Nissan_Altima,88.094,11.295,20.39
Nissan_Maxima,79.853,15.125,26.249
Nissan_Quest,27.308,15.38,26.399
Nissan_Pathfinder,42.574,17.81,29.299
Nissan_Xterra,54.158,18.07297520661157,22.799
Nissan_Frontier,65.005,18.07297520661157,17.89
Oldsmobile_Cutlass,1.112,11.24,18.145
Oldsmobile_Intrigue,38.554,18.07297520661157,24.15
Oldsmobile_Alero,80.255,18.07297520661157,18.27
Oldsmobile_Aurora,14.69,19.89,36.229
Oldsmobile_Bravada,20.017,19.925,31.598
Oldsmobile_Silhouette,24.361,15.24,25.345
Plymouth_Neon,32.734,7.75,12.64
Plymouth_Breeze,5.24,9.8,16.08
Plymouth_Voyager,24.155,12.025,18.85
Plymouth_Prowler,1.872,18.07297520661157,43.0
Pontiac_Sunfire,51.645,13.79,21.61
Pontiac_Grand Am,131.097,10.29,19.72
Pontiac_Firebird,19.911,17.805,25.31
Pontiac_Grand Prix,92.364,14.01,21.665
Pontiac_Bonneville,35.945,13.225,23.755
Pontiac_Montana,39.572,18.07297520661157,25.635
Porsche_Boxter,8.982,41.25,41.43
Porsche_Carrera Coupe,1.28,60.625,71.02
Porsche_Carrera Cabrio,1.866,67.55,74.97
Saab_5-Sep,9.191,18.07297520661157,33.12
Saab_3-Sep,12.115,18.07297520661157,26.1
Saturn_SL,80.62,9.2,10.685
Saturn_SC,24.546,10.59,12.535
Saturn_SW,5.223,10.79,14.29
Saturn_LW,8.472,18.07297520661157,18.835
Saturn_LS,49.989,18.07297520661157,15.01
Subaru_Outback,47.107,18.07297520661157,22.695
Subaru_Forester,33.028,18.07297520661157,20.095
Toyota_Corolla,142.535,10.025,13.108
Toyota_Camry,247.994,13.245,17.518
Toyota_Avalon,63.849,18.14,25.545
Toyota_Celica,33.269,15.445,16.875
Toyota_Tacoma,84.087,9.575,11.528
Toyota_Sienna,65.119,18.07297520661157,22.368
Toyota_RAV4,25.106,13.325,16.888
Toyota_4Runner,68.411,19.425,22.288
Toyota_Land Cruiser,9.835,34.08,51.728
Volkswagen_Golf,9.761,11.425,14.9
Volkswagen_Jetta,83.721,13.24,16.7
Volkswagen_Passat,51.102,16.725,21.2
Volkswagen_Cabrio,9.569,16.575,19.99
Volkswagen_GTI,5.596,13.76,17.5
Volkswagen_Beetle,49.463,18.07297520661157,15.9
Volvo_S40,16.957,18.07297520661157,23.4
Volvo_V40,3.545,18.07297520661157,24.4
Volvo_S70,15.245,18.07297520661157,27.5
Volvo_V70,17.531,18.07297520661157,28.8
Volvo_C70,3.493,18.07297520661157,45.5
Volvo_S80,18.969,18.07297520661157,36.0
